TITLE = "Equilibrium concentrations vs Temperature"
VARIABLES = "T", "N2", "O2", "NO", "N", "O"
ZONE T="Mass Fractions", I=194, F=POINT
6.20000000e+03 6.27129569e-01 3.78254790e-04 1.10374638e-02 1.24905074e-01 2.36549639e-01
6.30000000e+03 6.09043272e-01 3.23850928e-04 1.03198429e-02 1.43326365e-01 2.36986669e-01
6.40000000e+03 5.89276848e-01 2.78570173e-04 9.64477958e-03 1.63407917e-01 2.37391886e-01
6.50000000e+03 5.67863431e-01 2.40695690e-04 9.00823295e-03 1.85118481e-01 2.37769159e-01
6.60000000e+03 5.44871410e-01 2.08864077e-04 8.40673247e-03 2.08391291e-01 2.38121703e-01
6.70000000e+03 5.20408059e-01 1.81988687e-04 7.83737004e-03 2.33120427e-01 2.38452155e-01
6.80000000e+03 4.94620446e-01 1.59197166e-04 7.29770005e-03 2.59159965e-01 2.38762692e-01
6.90000000e+03 4.67695886e-01 1.39786520e-04 6.78571745e-03 2.86323525e-01 2.39055085e-01
7.00000000e+03 4.39860009e-01 1.23187358e-04 6.29980787e-03 3.14386231e-01 2.39330765e-01
7.10000000e+03 4.11373140e-01 1.08936752e-04 5.83871678e-03 3.43088343e-01 2.39590864e-01
7.20000000e+03 3.82522163e-01 9.66551925e-05 5.40144873e-03 3.72143442e-01 2.39836291e-01
7.30000000e+03 3.53614042e-01 8.60320359e-05 4.98729297e-03 4.01244896e-01 2.40067736e-01
7.40000000e+03 3.24963721e-01 7.68108840e-05 4.59572569e-03 4.30078007e-01 2.40285736e-01
7.50000000e+03 2.96882292e-01 6.87794665e-05 4.22636620e-03 4.58331857e-01 2.40490705e-01
7.60000000e+03 2.69664346e-01 6.17613578e-05 3.87892190e-03 4.85711995e-01 2.40682976e-01
7.70000000e+03 2.43575839e-01 5.56093760e-05 3.55313448e-03 5.11952583e-01 2.40862834e-01
7.80000000e+03 2.18843341e-01 5.02001954e-05 3.24872473e-03 5.36827184e-01 2.41030550e-01
7.90000000e+03 1.95646919e-01 4.54304315e-05 2.96536602e-03 5.60155881e-01 2.41186403e-01
8.00000000e+03 1.74113874e-01 4.12125211e-05 2.70261594e-03 5.81811582e-01 2.41330716e-01
8.10000000e+03 1.54318752e-01 3.74723826e-05 2.45991576e-03 6.01719999e-01 2.41463860e-01
8.20000000e+03 1.36286842e-01 3.41474934e-05 2.23660101e-03 6.19856155e-01 2.41586254e-01
8.30000000e+03 1.19997430e-01 3.11842623e-05 2.03186267e-03 6.36241142e-01 2.41698381e-01
8.40000000e+03 1.05392425e-01 2.85369762e-05 1.84478573e-03 6.50933477e-01 2.41800775e-01
8.50000000e+03 9.23845223e-02 2.61664472e-05 1.67436503e-03 6.64020935e-01 2.41894012e-01
8.60000000e+03 8.08657926e-02 2.40389797e-05 1.51953125e-03 6.75611943e-01 2.41978695e-01
8.70000000e+03 7.07156745e-02 2.21255164e-05 1.37917850e-03 6.85827579e-01 2.42055442e-01
8.80000000e+03 6.18078904e-02 2.04009287e-05 1.25219085e-03 6.94794643e-01 2.42124875e-01
8.90000000e+03 5.40160240e-02 1.88434268e-05 1.13746604e-03 7.02640064e-01 2.42187602e-01
9.00000000e+03 4.72177142e-02 1.74340661e-05 1.03393502e-03 7.09486704e-01 2.42244213e-01
9.10000000e+03 4.12975627e-02 1.61563351e-05 9.40577085e-04 7.15450436e-01 2.42295268e-01
9.20000000e+03 3.61490109e-02 1.49958396e-05 8.56432271e-04 7.20638268e-01 2.42341293e-01
9.30000000e+03 3.16749595e-02 1.39398741e-05 7.80600585e-04 7.25147718e-01 2.42382782e-01
9.40000000e+03 2.77885114e-02 1.29773913e-05 7.12257211e-04 7.29066070e-01 2.42420184e-01
9.50000000e+03 2.44124070e-02 1.20986377e-05 6.50644609e-04 7.32470936e-01 2.42453914e-01
9.60000000e+03 2.14785963e-02 1.12950160e-05 5.95073385e-04 7.35430688e-01 2.42484347e-01
9.70000000e+03 1.89275326e-02 1.05589333e-05 5.44919430e-04 7.38005164e-01 2.42511825e-01
9.80000000e+03 1.67073760e-02 9.88367016e-06 4.99620114e-04 7.40246467e-01 2.42536653e-01
9.90000000e+03 1.47731744e-02 9.26326916e-06 4.58669917e-04 7.42199785e-01 2.42559107e-01
1.00000000e+04 1.30860643e-02 8.69243849e-06 4.21615823e-04 7.43904192e-01 2.42579435e-01
1.01000000e+04 1.16125188e-02 8.16646924e-06 3.88052670e-04 7.45393406e-01 2.42597856e-01
1.02000000e+04 1.03236584e-02 7.68116382e-06 3.57618621e-04 7.46696473e-01 2.42614569e-01
1.03000000e+04 9.19462994e-03 7.23277398e-06 3.29990859e-04 7.47838398e-01 2.42629748e-01
1.04000000e+04 8.20405566e-03 6.81794723e-06 3.04881564e-04 7.48840694e-01 2.42643551e-01
1.05000000e+04 7.33354923e-03 6.43368032e-06 2.82034210e-04 7.49721866e-01 2.42656117e-01
1.06000000e+04 6.56729318e-03 6.07727837e-06 2.61220165e-04 7.50497838e-01 2.42667571e-01
1.07000000e+04 5.89167354e-03 5.74631948e-06 2.42235630e-04 7.51182320e-01 2.42678024e-01
1.08000000e+04 5.29496456e-03 5.43862380e-06 2.24898874e-04 7.51787122e-01 2.42687576e-01
1.09000000e+04 4.76705798e-03 5.15222647e-06 2.09047769e-04 7.52322428e-01 2.42696314e-01
1.10000000e+04 4.29923094e-03 4.88535381e-06 1.94537585e-04 7.52797029e-01 2.42704317e-01
1.11000000e+04 3.88394748e-03 4.63640247e-06 1.81239025e-04 7.53218520e-01 2.42711657e-01
1.12000000e+04 3.51468894e-03 4.40392108e-06 1.69036489e-04 7.53593475e-01 2.42718396e-01
1.13000000e+04 3.18580925e-03 4.18659406e-06 1.57826533e-04 7.53927588e-01 2.42724590e-01
1.14000000e+04 2.89241136e-03 3.98322735e-06 1.47516499e-04 7.54225799e-01 2.42730290e-01
1.15000000e+04 2.63024183e-03 3.79273575e-06 1.38023315e-04 7.54492400e-01 2.42735543e-01
1.16000000e+04 2.39560088e-03 3.61413178e-06 1.29272422e-04 7.54731126e-01 2.42740387e-01
1.17000000e+04 2.18526552e-03 3.44651578e-06 1.21196836e-04 7.54945231e-01 2.42744860e-01
1.18000000e+04 1.99642391e-03 3.28906704e-06 1.13736311e-04 7.55137555e-01 2.42748996e-01
1.19000000e+04 1.82661920e-03 3.14103607e-06 1.06836607e-04 7.55310581e-01 2.42752823e-01
1.20000000e+04 1.67370147e-03 3.00173757e-06 1.00448834e-04 7.55466480e-01 2.42756368e-01
1.21000000e+04 1.53578650e-03 2.87054422e-06 9.45288803e-05 7.55607159e-01 2.42759655e-01
1.22000000e+04 1.41122049e-03 2.74688117e-06 8.90368983e-05 7.55734288e-01 2.42762707e-01
1.23000000e+04 1.29854966e-03 2.63022106e-06 8.39368559e-05 7.55849340e-01 2.42765543e-01
1.24000000e+04 1.19649415e-03 2.52007957e-06 7.91961348e-05 7.55953609e-01 2.42768181e-01
1.25000000e+04 1.10392557e-03 2.41601146e-06 7.47851754e-05 7.56048236e-01 2.42770637e-01
1.26000000e+04 1.01984758e-03 2.31760698e-06 7.06771610e-05 7.56134232e-01 2.42772926e-01
1.27000000e+04 9.43379172e-04 2.22448869e-06 6.68477379e-05 7.56212488e-01 2.42775061e-01
1.28000000e+04 8.73740219e-04 2.13630855e-06 6.32747656e-05 7.56283795e-01 2.42777054e-01
1.29000000e+04 8.10238916e-04 2.05274533e-06 5.99380952e-05 7.56348854e-01 2.42778917e-01
1.30000000e+04 7.52260935e-04 1.97350224e-06 5.68193708e-05 7.56408288e-01 2.42780659e-01
1.31000000e+04 6.99259994e-04 1.89830488e-06 5.39018534e-05 7.56462650e-01 2.42782289e-01
1.32000000e+04 6.50749654e-04 1.82689925e-06 5.11702633e-05 7.56512436e-01 2.42783817e-01
1.33000000e+04 6.06296188e-04 1.75905007e-06 4.86106387e-05 7.56558084e-01 2.42785250e-01
1.34000000e+04 5.65512353e-04 1.69453919e-06 4.62102099e-05 7.56599989e-01 2.42786594e-01
1.35000000e+04 5.28051962e-04 1.63316418e-06 4.39572862e-05 7.56638501e-01 2.42787857e-01
1.36000000e+04 4.93605128e-04 1.57473703e-06 4.18411547e-05 7.56673935e-01 2.42789044e-01
1.37000000e+04 4.61894116e-04 1.51908301e-06 3.98519893e-05 7.56706575e-01 2.42790160e-01
1.38000000e+04 4.32669688e-04 1.46603955e-06 3.79807688e-05 7.56736673e-01 2.42791211e-01
1.39000000e+04 4.05707916e-04 1.41545531e-06 3.62192041e-05 7.56764457e-01 2.42792200e-01
1.40000000e+04 3.80807361e-04 1.36718930e-06 3.45596713e-05 7.56790132e-01 2.42793134e-01
1.41000000e+04 3.57786605e-04 1.32111004e-06 3.29951526e-05 7.56813883e-01 2.42794014e-01
1.42000000e+04 3.36482067e-04 1.27709486e-06 3.15191825e-05 7.56835877e-01 2.42794845e-01
1.43000000e+04 3.16746085e-04 1.23502920e-06 3.01257992e-05 7.56856263e-01 2.42795630e-01
1.44000000e+04 2.98445213e-04 1.19480603e-06 2.88095008e-05 7.56875179e-01 2.42796372e-01
1.45000000e+04 2.81458718e-04 1.15632523e-06 2.75652056e-05 7.56892746e-01 2.42797074e-01
1.46000000e+04 2.65677245e-04 1.11949311e-06 2.63882157e-05 7.56909077e-01 2.42797738e-01
1.47000000e+04 2.51001665e-04 1.08422202e-06 2.52741869e-05 7.56924272e-01 2.42798367e-01
1.48000000e+04 2.37341984e-04 1.05042974e-06 2.42190956e-05 7.56938425e-01 2.42798964e-01
1.49000000e+04 2.24616442e-04 1.01803919e-06 2.32192141e-05 7.56951617e-01 2.42799529e-01
1.50000000e+04 2.12750676e-04 9.86978076e-07 2.22710862e-05 7.56963925e-01 2.42800066e-01
1.51000000e+04 2.01676986e-04 9.57178506e-07 2.13715045e-05 7.56975419e-01 2.42800575e-01
1.52000000e+04 1.91333673e-04 9.28576707e-07 2.05174909e-05 7.56986161e-01 2.42801059e-01
1.53000000e+04 1.81664456e-04 9.01112727e-07 1.97062777e-05 7.56996209e-01 2.42801519e-01
1.54000000e+04 1.72617945e-04 8.74730180e-07 1.89352910e-05 7.57005615e-01 2.42801957e-01
1.55000000e+04 1.64147171e-04 8.49375996e-07 1.82021358e-05 7.57014428e-01 2.42802373e-01
1.56000000e+04 1.56209167e-04 8.25000201e-07 1.75045817e-05 7.57022692e-01 2.42802769e-01
1.57000000e+04 1.48764593e-04 8.01555708e-07 1.68405502e-05 7.57030446e-01 2.42803147e-01
1.58000000e+04 1.41777393e-04 7.78998125e-07 1.62081031e-05 7.57037729e-01 2.42803507e-01
1.59000000e+04 1.35214495e-04 7.57285577e-07 1.56054320e-05 7.57044573e-01 2.42803850e-01
1.60000000e+04 1.29045537e-04 7.36378543e-07 1.50308483e-05 7.57051010e-01 2.42804177e-01
1.61000000e+04 1.23242621e-04 7.16239703e-07 1.44827743e-05 7.57057069e-01 2.42804489e-01
1.62000000e+04 1.17780091e-04 6.96833798e-07 1.39597351e-05 7.57062776e-01 2.42804788e-01
1.63000000e+04 1.12634331e-04 6.78127497e-07 1.34603509e-05 7.57068155e-01 2.42805073e-01
1.64000000e+04 1.07783591e-04 6.60089275e-07 1.29833302e-05 7.57073228e-01 2.42805345e-01
1.65000000e+04 1.03207817e-04 6.42689303e-07 1.25274635e-05 7.57078017e-01 2.42805605e-01
1.66000000e+04 9.88885088e-05 6.25899341e-07 1.20916170e-05 7.57082539e-01 2.42805855e-01
1.67000000e+04 9.48085825e-05 6.09692639e-07 1.16747279e-05 7.57086814e-01 2.42806093e-01
1.68000000e+04 9.09522529e-05 5.94043850e-07 1.12757988e-05 7.57090857e-01 2.42806321e-01
1.69000000e+04 8.73049222e-05 5.78928941e-07 1.08938935e-05 7.57094682e-01 2.42806540e-01
1.70000000e+04 8.38530810e-05 5.64325116e-07 1.05281326e-05 7.57098305e-01 2.42806750e-01
1.71000000e+04 8.05842181e-05 5.50210744e-07 1.01776896e-05 7.57101737e-01 2.42806951e-01
1.72000000e+04 7.74867379e-05 5.36565286e-07 9.84178728e-06 7.57104991e-01 2.42807143e-01
1.73000000e+04 7.45498861e-05 5.23369237e-07 9.51969458e-06 7.57108079e-01 2.42807328e-01
1.74000000e+04 7.17636818e-05 5.10604060e-07 9.21072323e-06 7.57111009e-01 2.42807506e-01
1.75000000e+04 6.91188549e-05 4.98252133e-07 8.91422504e-06 7.57113792e-01 2.42807676e-01
1.76000000e+04 6.66067900e-05 4.86296699e-07 8.62958924e-06 7.57116437e-01 2.42807840e-01
