T,P,N2,O2,NO,N,O,N2+,O2+,N+,O+,NO+,e-
644.750000,101325.000000,0.75718412,0.24280640,0.00000083,0.00000000,0.00000006,0.00000000,0.00000011,0.00000000,0.00000000,0.00000848,0.00000000
654.600000,101325.000000,0.75718732,0.24280727,0.00000025,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000515,0.00000000
664.450000,101325.000000,0.75718410,0.24280631,0.00000086,0.00000000,0.00000006,0.00000000,0.00000011,0.00000000,0.00000000,0.00000855,0.00000000
674.300000,101325.000000,0.75718735,0.24280721,0.00000033,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000511,0.00000000
684.150000,101325.000000,0.75718419,0.24280625,0.00000090,0.00000000,0.00000006,0.00000000,0.00000011,0.00000000,0.00000000,0.00000849,0.00000000
694.000000,101325.000000,0.75718740,0.24280714,0.00000044,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000502,0.00000000
703.850000,101325.000000,0.75718431,0.24280620,0.00000093,0.00000000,0.00000007,0.00000000,0.00000011,0.00000000,0.00000000,0.00000839,0.00000000
713.700000,101325.000000,0.75718729,0.24280702,0.00000058,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000510,0.00000000
723.550000,101325.000000,0.75718431,0.24280610,0.00000097,0.00000000,0.00000007,0.00000000,0.00000011,0.00000000,0.00000000,0.00000845,0.00000000
733.400000,101325.000000,0.75718726,0.24280690,0.00000075,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000509,0.00000000
743.250000,101325.000000,0.75718439,0.24280600,0.00000100,0.00000000,0.00000007,0.00000000,0.00000010,0.00000000,0.00000000,0.00000842,0.00000000
753.100000,101325.000000,0.75718724,0.24280677,0.00000095,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000505,0.00000000
762.950000,101325.000000,0.75718451,0.24280590,0.00000104,0.00000000,0.00000008,0.00000000,0.00000010,0.00000000,0.00000000,0.00000837,0.00000000
772.800000,101325.000000,0.75718719,0.24280660,0.00000120,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000501,0.00000000
782.650000,101325.000000,0.75718445,0.24280566,0.00000123,0.00000000,0.00000011,0.00000000,0.00000016,0.00000000,0.00000000,0.00000839,0.00000000
792.500000,101325.000000,0.75718706,0.24280635,0.00000159,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000500,0.00000000
802.350000,101325.000000,0.75718432,0.24280540,0.00000164,0.00000000,0.00000011,0.00000000,0.00000016,0.00000000,0.00000000,0.00000837,0.00000000
812.200000,101325.000000,0.75718681,0.24280601,0.00000218,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000500,0.00000000
822.050000,101325.000000,0.75718407,0.24280505,0.00000225,0.00000000,0.00000012,0.00000000,0.00000015,0.00000000,0.00000000,0.00000836,0.00000000
831.900000,101325.000000,0.75718643,0.24280556,0.00000300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000500,0.00000000
841.750000,101325.000000,0.75718369,0.24280458,0.00000311,0.00000000,0.00000012,0.00000000,0.00000015,0.00000000,0.00000000,0.00000835,0.00000000
851.600000,101325.000000,0.75718591,0.24280497,0.00000410,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000502,0.00000000
861.450000,101325.000000,0.75718317,0.24280396,0.00000424,0.00000000,0.00000013,0.00000000,0.00000015,0.00000000,0.00000000,0.00000835,0.00000000
871.300000,101325.000000,0.75718523,0.24280419,0.00000552,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000505,0.00000000
881.150000,101325.000000,0.75718249,0.24280316,0.00000571,0.00000000,0.00000013,0.00000000,0.00000015,0.00000000,0.00000000,0.00000836,0.00000000
891.000000,101325.000000,0.75718435,0.24280320,0.00000735,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000510,0.00000000
900.850000,101325.000000,0.75718154,0.24280203,0.00000754,0.00000001,0.00000017,0.00000000,0.00000023,0.00000000,0.00000000,0.00000847,0.00000000
910.700000,101325.000000,0.75717918,0.24280095,0.00000783,0.00000001,0.00000017,0.00000000,0.00000019,0.00000000,0.00000000,0.00001166,0.00000000
920.550000,101325.000000,0.75718271,0.24280115,0.00001101,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000513,0.00000000
930.400000,101325.000000,0.75717986,0.24279993,0.00001130,0.00000001,0.00000018,0.00000000,0.00000022,0.00000000,0.00000000,0.00000849,0.00000000
940.250000,101325.000000,0.75717746,0.24279878,0.00001171,0.00000001,0.00000018,0.00000000,0.00000019,0.00000000,0.00000000,0.00001165,0.00000000
950.100000,101325.000000,0.75718039,0.24279839,0.00001616,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000506,0.00000000
959.950000,101325.000000,0.75717750,0.24279710,0.00001657,0.00000001,0.00000019,0.00000000,0.00000022,0.00000000,0.00000000,0.00000840,0.00000000
969.800000,101325.000000,0.75717827,0.24279608,0.00002052,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000513,0.00000000
979.650000,101325.000000,0.75717534,0.24279472,0.00002104,0.00000001,0.00000020,0.00000000,0.00000022,0.00000000,0.00000000,0.00000846,0.00000000
989.500000,101325.000000,0.75717583,0.24279322,0.00002598,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000498,0.00000000
999.350000,101325.000000,0.75717422,0.24279166,0.00002900,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000511,0.00000000
1009.200000,101325.000000,0.75717259,0.24278991,0.00003235,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000514,0.00000000
1019.050000,101325.000000,0.75717085,0.24278796,0.00003607,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000511,0.00000000
1028.900000,101325.000000,0.75716899,0.24278581,0.00004015,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000505,0.00000000
1038.750000,101325.000000,0.75716696,0.24278345,0.00004462,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000497,0.00000000
1048.600000,101325.000000,0.75716486,0.24278073,0.00004993,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000448,0.00000000
1058.450000,101325.000000,0.75716248,0.24277784,0.00005548,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000419,0.00000000
1068.300000,101325.000000,0.75715989,0.24277464,0.00006163,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000383,0.00000000
1078.150000,101325.000000,0.75715705,0.24277115,0.00006836,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000343,0.00000000
1088.000000,101325.000000,0.75715394,0.24276746,0.00007537,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000322,0.00000000
1097.850000,101325.000000,0.75715055,0.24276340,0.00008312,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000292,0.00000000
1107.700000,101325.000000,0.75714689,0.24275911,0.00009123,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000276,0.00000000
1117.550000,101325.000000,0.75714292,0.24275440,0.00010017,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000250,0.00000000
1127.400000,101325.000000,0.75713866,0.24274944,0.00010953,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000236,0.00000000
1137.250000,101325.000000,0.75713404,0.24274401,0.00011981,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000212,0.00000000
1147.100000,101325.000000,0.75712912,0.24273832,0.00013054,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000200,0.00000000
1156.950000,101325.000000,0.75712381,0.24273209,0.00014231,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000178,0.00000000
1166.800000,101325.000000,0.75711817,0.24272559,0.00015454,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000168,0.00000000
1176.650000,101325.000000,0.75711218,0.24271870,0.00016750,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000161,0.00000000
1186.500000,101325.000000,0.75710569,0.24271115,0.00018172,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000142,0.00000000
1196.350000,101325.000000,0.75709887,0.24270331,0.00019647,0.00000000,0.00000002,0.00000000,0.00000000,0.00000000,0.00000000,0.00000133,0.00000000
1206.200000,101325.000000,0.75709164,0.24269501,0.00021206,0.00000000,0.00000002,0.00000000,0.00000000,0.00000000,0.00000000,0.00000128,0.00000000
1216.050000,101325.000000,0.75708397,0.24268621,0.00022857,0.00000000,0.00000002,0.00000000,0.00000000,0.00000000,0.00000000,0.00000123,0.00000000
1225.900000,101325.000000,0.75707584,0.24267689,0.00024607,0.00000000,0.00000002,0.00000000,0.00000000,0.00000000,0.00000000,0.00000118,0.00000000
1235.750000,101325.000000,0.75706707,0.24266674,0.00026516,0.00000000,0.00000003,0.00000000,0.00000000,0.00000000,0.00000000,0.00000100,0.00000000
1245.600000,101325.000000,0.75705810,0.24265655,0.00028425,0.00000000,0.00000003,0.00000000,0.00000000,0.00000000,0.00000000,0.00000107,0.00000000
1255.450000,101325.000000,0.75704832,0.24264526,0.00030547,0.00000000,0.00000003,0.00000000,0.00000000,0.00000000,0.00000000,0.00000091,0.00000000
1265.300000,101325.000000,0.75703812,0.24263356,0.00032741,0.00000000,0.00000004,0.00000000,0.00000000,0.00000000,0.00000000,0.00000087,0.00000000
1275.150000,101325.000000,0.75702739,0.24262128,0.00035045,0.00000000,0.00000004,0.00000000,0.00000000,0.00000000,0.00000000,0.00000084,0.00000000
1285.000000,101325.000000,0.75701610,0.24260834,0.00037471,0.00000000,0.00000005,0.00000000,0.00000000,0.00000000,0.00000000,0.00000080,0.00000000
1294.850000,101325.000000,0.75700422,0.24259474,0.00040022,0.00000000,0.00000006,0.00000000,0.00000000,0.00000000,0.00000000,0.00000076,0.00000000
1304.700000,101325.000000,0.75699173,0.24258044,0.00042704,0.00000000,0.00000007,0.00000000,0.00000000,0.00000000,0.00000000,0.00000073,0.00000000
1314.550000,101325.000000,0.75697862,0.24256542,0.00045520,0.00000000,0.00000008,0.00000000,0.00000000,0.00000000,0.00000000,0.00000069,0.00000000
1324.400000,101325.000000,0.75696486,0.24254966,0.00048474,0.00000000,0.00000009,0.00000000,0.00000000,0.00000000,0.00000000,0.00000065,0.00000000
1334.250000,101325.000000,0.75695043,0.24253314,0.00051572,0.00000000,0.00000010,0.00000000,0.00000000,0.00000000,0.00000000,0.00000062,0.00000000
1344.100000,101325.000000,0.75693531,0.24251583,0.00054816,0.00000000,0.00000012,0.00000000,0.00000000,0.00000000,0.00000000,0.00000058,0.00000000
1353.950000,101325.000000,0.75691949,0.24249772,0.00058211,0.00000000,0.00000013,0.00000000,0.00000000,0.00000000,0.00000000,0.00000055,0.00000000
1363.800000,101325.000000,0.75690295,0.24247877,0.00061762,0.00000000,0.00000015,0.00000000,0.00000000,0.00000000,0.00000000,0.00000051,0.00000000
1373.650000,101325.000000,0.75688604,0.24245949,0.00065368,0.00000000,0.00000018,0.00000000,0.00000000,0.00000000,0.00000000,0.00000061,0.00000000
1383.500000,101325.000000,0.75686804,0.24243889,0.00069228,0.00000000,0.00000021,0.00000000,0.00000000,0.00000000,0.00000000,0.00000058,0.00000000
1393.350000,101325.000000,0.75684922,0.24241733,0.00073266,0.00000000,0.00000024,0.00000000,0.00000000,0.00000000,0.00000000,0.00000054,0.00000000
1403.200000,101325.000000,0.75682959,0.24239485,0.00077478,0.00000000,0.00000027,0.00000000,0.00000000,0.00000000,0.00000000,0.00000051,0.00000000
1413.050000,101325.000000,0.75680913,0.24237142,0.00081866,0.00000000,0.00000031,0.00000000,0.00000000,0.00000000,0.00000000,0.00000047,0.00000000
1422.900000,101325.000000,0.75678783,0.24234702,0.00086436,0.00000000,0.00000036,0.00000000,0.00000000,0.00000000,0.00000000,0.00000044,0.00000000
1432.750000,101325.000000,0.75676567,0.24232162,0.00091190,0.00000000,0.00000041,0.00000000,0.00000000,0.00000000,0.00000000,0.00000040,0.00000000
