TITLE = "Equilibrium TP Sweep: AIR5"
VARIABLES = "T [K]", "P [Pa]", "Y(N2)", "Y(O2)", "Y(NO)", "Y(N)", "Y(O)"
ZONE T="TP_Sweep", I=2000, F=BLOCK
7.53409832e-01 7.53451244e-01 7.53492130e-01 7.53532499e-01 7.53572358e-01 
7.53611713e-01 7.53650572e-01 7.53688943e-01 7.53726831e-01 7.53764243e-01 
7.53801187e-01 7.53837669e-01 7.53873695e-01 7.53909272e-01 7.53944405e-01 
7.53979102e-01 7.54013368e-01 7.54047210e-01 7.54080632e-01 7.54113641e-01 
7.54146243e-01 7.54178443e-01 7.54210247e-01 7.54241661e-01 7.54272689e-01 
7.54303337e-01 7.54333610e-01 7.54363513e-01 7.54393052e-01 7.54422232e-01 
7.54451056e-01 7.54479531e-01 7.54507661e-01 7.54535450e-01 7.54562904e-01 
7.54590027e-01 7.54616822e-01 7.54643296e-01 7.54669451e-01 7.54695293e-01 
7.54720826e-01 7.54746053e-01 7.54770980e-01 7.54795609e-01 7.54819945e-01 
7.54843992e-01 7.54867753e-01 7.54891233e-01 7.54914436e-01 7.54937364e-01 
7.54960022e-01 7.54982413e-01 7.55004541e-01 7.55026409e-01 7.55048021e-01 
7.55069380e-01 7.55090489e-01 7.55111352e-01 7.55131972e-01 7.55152352e-01 
7.55172495e-01 7.55192405e-01 7.55212084e-01 7.55231535e-01 7.55250762e-01 
7.55269767e-01 7.55288554e-01 7.55307124e-01 7.55325481e-01 7.55343628e-01 
7.55361568e-01 7.55379302e-01 7.55396834e-01 7.55414167e-01 7.55431302e-01 
7.55448242e-01 7.55464991e-01 7.55481550e-01 7.55497921e-01 7.55514108e-01 
7.55530113e-01 7.55545937e-01 7.55561583e-01 7.55577054e-01 7.55592352e-01 
7.55607478e-01 7.55622436e-01 7.55637226e-01 7.55651852e-01 7.55666315e-01 
7.55680618e-01 7.55694762e-01 7.55708749e-01 7.55722582e-01 7.55736262e-01 
7.55749791e-01 7.55763171e-01 7.55776405e-01 7.55789493e-01 7.55802437e-01 
7.55815241e-01 7.55827904e-01 7.55840429e-01 7.55852818e-01 7.55865072e-01 
