TITLE = "Equilibrium TP Sweep: AIR5"
VARIABLES = "T [K]", "P [Pa]", "Y(N2)", "Y(O2)", "Y(NO)", "Y(N)", "Y(O)"
ZONE T="TP_Sweep", I=2000, F=BLOCK
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 1.01325000e+05 
7.57190906e-01 7.57190353e-01 7.57189848e-01 7.57189391e-01 7.57188981e-01 
7.57188544e-01 7.57188198e-01 7.57187890e-01 7.57187618e-01 7.57187382e-01 
7.57187179e-01 7.57187008e-01 7.57186868e-01 7.57186756e-01 7.57186671e-01 
7.57186611e-01 7.57186574e-01 7.57186559e-01 7.57186563e-01 7.57186585e-01 
7.57186623e-01 7.57186675e-01 7.57186589e-01 7.57186590e-01 7.57186607e-01 
7.57186638e-01 7.57186683e-01 7.57186740e-01 7.57186807e-01 7.57186883e-01 
7.57186810e-01 7.57186832e-01 7.57186865e-01 7.57186909e-01 7.57186964e-01 
7.57187027e-01 7.57187099e-01 7.57187178e-01 7.57187263e-01 7.57187355e-01 
7.57187451e-01 7.57187552e-01 7.57187656e-01 7.57187763e-01 7.57187873e-01 
7.57187984e-01 7.57188097e-01 7.57188210e-01 7.57188320e-01 7.57188415e-01 
7.57188496e-01 7.57188560e-01 7.57188609e-01 7.57188641e-01 7.57188654e-01 
7.57188646e-01 7.57188616e-01 7.57188561e-01 7.57188478e-01 7.57188363e-01 
7.57188212e-01 7.57188022e-01 7.57187787e-01 7.57187502e-01 7.57186754e-01 
7.57185866e-01 7.57184877e-01 7.57183800e-01 7.57182494e-01 7.57181277e-01 
7.57179786e-01 7.57178210e-01 7.57176537e-01 7.57174526e-01 7.57172441e-01 
7.57170234e-01 7.57167868e-01 7.57165047e-01 7.57162151e-01 7.57159093e-01 
7.57155820e-01 7.57152304e-01 7.57148150e-01 7.57144324e-01 7.57139625e-01 
7.57134828e-01 7.57129762e-01 7.57124366e-01 7.57118611e-01 7.57112477e-01 
7.57105946e-01 7.57099002e-01 7.57091626e-01 7.57083802e-01 7.57075510e-01 
7.57066733e-01 7.57057452e-01 7.57047649e-01 7.57037304e-01 7.57026399e-01 
7.57014915e-01 7.57002832e-01 7.56990129e-01 7.56976789e-01 7.56962911e-01 
7.56949476e-01 7.56933324e-01 7.56918156e-01 7.56901410e-01 7.56883867e-01 
7.56865581e-01 7.56846748e-01 7.56827115e-01 7.56806663e-01 7.56785371e-01 
7.56763220e-01 7.56740190e-01 7.56716261e-01 7.56691413e-01 7.56665625e-01 
7.56638882e-01 7.56611162e-01 7.56582445e-01 7.56552712e-01 7.56521943e-01 
7.56490120e-01 7.56457224e-01 7.56423236e-01 7.56388138e-01 7.56351911e-01 
7.56314536e-01 7.56275998e-01 7.56236277e-01 7.56195355e-01 7.56153215e-01 
7.56109841e-01 7.56065215e-01 7.56019321e-01 7.55972142e-01 7.55923663e-01 
7.55873867e-01 7.55822738e-01 7.55770263e-01 7.55716426e-01 7.55661212e-01 
7.55604606e-01 7.55546595e-01 7.55487164e-01 7.55426302e-01 7.55363993e-01 
7.55300227e-01 7.55234990e-01 7.55168270e-01 7.55100055e-01 7.55030335e-01 
7.54959097e-01 7.54886333e-01 7.54812030e-01 7.54736180e-01 7.54658773e-01 
7.54579799e-01 7.54499250e-01 7.54417117e-01 7.54333393e-01 7.54248069e-01 
7.54161140e-01 7.54072596e-01 7.53982433e-01 7.53890645e-01 7.53797225e-01 
7.53702168e-01 7.53605470e-01 7.53507125e-01 7.53407131e-01 7.53305484e-01 
7.53202180e-01 7.53097217e-01 7.52990592e-01 7.52882304e-01 7.52772350e-01 
7.52660731e-01 7.52547446e-01 7.52432494e-01 7.52315876e-01 7.52197592e-01 
7.52077645e-01 7.51956035e-01 7.51832765e-01 7.51707837e-01 7.51581255e-01 
7.51453022e-01 7.51323142e-01 7.51191620e-01 7.51058461e-01 7.50923670e-01 
7.50787253e-01 7.50649218e-01 7.50509570e-01 7.50368318e-01 7.50225470e-01 
7.50081034e-01 7.49935019e-01 7.49787436e-01 7.49638294e-01 7.49487604e-01 
7.49335377e-01 7.49181626e-01 7.49026363e-01 7.48869601e-01 7.48711354e-01 
7.48551636e-01 7.48390461e-01 7.48227846e-01 7.48063806e-01 7.47898358e-01 
7.47731520e-01 7.47563309e-01 7.47393745e-01 7.47222846e-01 7.47050633e-01 
7.46877126e-01 7.46702346e-01 7.46526316e-01 7.46349059e-01 7.46170598e-01 
7.45990958e-01 7.45810162e-01 7.45628238e-01 7.45445211e-01 7.45261110e-01 
7.45075961e-01 7.44889794e-01 7.44702639e-01 7.44514525e-01 7.44325485e-01 
7.44135550e-01 7.43944753e-01 7.43753129e-01 7.43560711e-01 7.43367536e-01 
7.43173639e-01 7.42979058e-01 7.42783831e-01 7.42587998e-01 7.42391597e-01 
7.42194671e-01 7.41997260e-01 7.41799408e-01 7.41601159e-01 7.41402556e-01 
7.41203646e-01 7.41004474e-01 7.40805089e-01 7.40605538e-01 7.40405872e-01 
7.40206140e-01 7.40006394e-01 7.39806685e-01 7.39607068e-01 7.39407596e-01 
7.39208324e-01 7.39009308e-01 7.38810606e-01 7.38612275e-01 7.38414374e-01 
7.38216963e-01 7.38020102e-01 7.37823853e-01 7.37628279e-01 7.37433442e-01 
7.37239408e-01 7.37046240e-01 7.36854005e-01 7.36662770e-01 7.36472601e-01 
7.36283568e-01 7.36095738e-01 7.35909181e-01 7.35723969e-01 7.35540170e-01 
7.35357858e-01 7.35177103e-01 7.34997978e-01 7.34820557e-01 7.34644912e-01 
7.34471118e-01 7.34299248e-01 7.34129377e-01 7.33961580e-01 7.33795930e-01 
7.33632503e-01 7.33471374e-01 7.33312617e-01 7.33156307e-01 7.33002519e-01 
7.32851326e-01 7.32702803e-01 7.32557023e-01 7.32414060e-01 7.32273984e-01 
7.32136868e-01 7.32002783e-01 7.31871798e-01 7.31743984e-01 7.31619406e-01 
7.31498133e-01 7.31380229e-01 7.31265759e-01 7.31154785e-01 7.31047368e-01 
7.30943567e-01 7.30843438e-01 7.30747038e-01 7.30654420e-01 7.30565634e-01 
7.30480730e-01 7.30399752e-01 7.30322746e-01 7.30249751e-01 7.30180807e-01 
7.30115947e-01 7.30055205e-01 7.29998610e-01 7.29946187e-01 7.29897959e-01 
7.29853945e-01 7.29814161e-01 7.29778618e-01 7.29747326e-01 7.29720288e-01 
7.29697505e-01 7.29678974e-01 7.29664688e-01 7.29654635e-01 7.29648801e-01 
7.29647165e-01 7.29649705e-01 7.29656393e-01 7.29667197e-01 7.29682082e-01 
7.29701006e-01 7.29723927e-01 7.29750796e-01 7.29781560e-01 7.29816164e-01 
7.29854547e-01 7.29896646e-01 7.29942392e-01 7.29991714e-01 7.30044537e-01 
7.30100783e-01 7.30160369e-01 7.30223211e-01 7.30289219e-01 7.30358304e-01 
7.30430370e-01 7.30505320e-01 7.30583056e-01 7.30663476e-01 7.30746475e-01 
7.30831947e-01 7.30919785e-01 7.31009878e-01 7.31102115e-01 7.31196384e-01 
7.31292571e-01 7.31390560e-01 7.31490236e-01 7.31591482e-01 7.31694181e-01 
7.31798215e-01 7.31903466e-01 7.32009816e-01 7.32117148e-01 7.32225342e-01 
7.32334283e-01 7.32443852e-01 7.32553933e-01 7.32664410e-01 7.32775168e-01 
7.32886093e-01 7.32997070e-01 7.33107988e-01 7.33218736e-01 7.33329202e-01 
7.33439279e-01 7.33548859e-01 7.33657836e-01 7.33766104e-01 7.33873561e-01 
7.33980104e-01 7.34085633e-01 7.34190048e-01 7.34293253e-01 7.34395151e-01 
7.34495648e-01 7.34594650e-01 7.34692067e-01 7.34787808e-01 7.34881784e-01 
7.34973908e-01 7.35064094e-01 7.35152259e-01 7.35238319e-01 7.35322191e-01 
7.35403797e-01 7.35483055e-01 7.35559889e-01 7.35634222e-01 7.35705977e-01 
7.35775080e-01 7.35841456e-01 7.35905034e-01 7.35965742e-01 7.36023507e-01 
7.36078260e-01 7.36129932e-01 7.36178453e-01 7.36223756e-01 7.36265773e-01 
7.36304437e-01 7.36339682e-01 7.36371441e-01 7.36399650e-01 7.36424242e-01 
7.36445153e-01 7.36462318e-01 7.36475673e-01 7.36485154e-01 7.36490696e-01 
7.36492236e-01 7.36489709e-01 7.36483051e-01 7.36472199e-01 7.36457089e-01 
7.36437655e-01 7.36413835e-01 7.36385563e-01 7.36352775e-01 7.36315406e-01 
7.36273389e-01 7.36226661e-01 7.36175155e-01 7.36118805e-01 7.36057543e-01 
7.35991303e-01 7.35920018e-01 7.35843618e-01 7.35762037e-01 7.35675203e-01 
7.35583049e-01 7.35485502e-01 7.35382494e-01 7.35273952e-01 7.35159803e-01 
7.35039976e-01 7.34914397e-01 7.34782991e-01 7.34645685e-01 7.34502401e-01 
7.34353065e-01 7.34197598e-01 7.34035923e-01 7.33867962e-01 7.33693634e-01 
7.33512861e-01 7.33325560e-01 7.33131650e-01 7.32931049e-01 7.32723672e-01 
7.32509435e-01 7.32288254e-01 7.32060042e-01 7.31824711e-01 7.31582175e-01 
7.31332345e-01 7.31075130e-01 7.30810441e-01 7.30538186e-01 7.30258273e-01 
7.29970608e-01 7.29675098e-01 7.29371647e-01 7.29060160e-01 7.28740539e-01 
7.28412688e-01 7.28076507e-01 7.27731898e-01 7.27378758e-01 7.27016988e-01 
7.26646485e-01 7.26267145e-01 7.25878866e-01 7.25481541e-01 7.25075065e-01 
7.24659332e-01 7.24234234e-01 7.23799662e-01 7.23355507e-01 7.22901659e-01 
7.22438006e-01 7.21964438e-01 7.21480841e-01 7.20987102e-01 7.20483106e-01 
7.19968739e-01 7.19443884e-01 7.18908424e-01 7.18362242e-01 7.17805220e-01 
7.17237238e-01 7.16658178e-01 7.16067917e-01 7.15466335e-01 7.14853310e-01 
7.14228720e-01 7.13592440e-01 7.12944348e-01 7.12284317e-01 7.11612224e-01 
7.10927942e-01 7.10231345e-01 7.09522306e-01 7.08800697e-01 7.08066389e-01 
7.07319256e-01 7.06559167e-01 7.05785993e-01 7.04999603e-01 7.04199869e-01 
7.03386658e-01 7.02559840e-01 7.01719283e-01 7.00864855e-01 6.99996425e-01 
6.99113860e-01 6.98217028e-01 6.97305796e-01 6.96380031e-01 6.95439600e-01 
6.94484370e-01 6.93514208e-01 6.92528981e-01 6.91528555e-01 6.90512799e-01 
6.89481578e-01 6.88434760e-01 6.87372212e-01 6.86293803e-01 6.85199399e-01 
6.84088870e-01 6.82962082e-01 6.81818907e-01 6.80659212e-01 6.79482868e-01 
6.78289745e-01 6.77079714e-01 6.75852647e-01 6.74608417e-01 6.73346895e-01 
6.72067958e-01 6.70771478e-01 6.69457333e-01 6.68125398e-01 6.66775552e-01 
6.65407674e-01 6.64021644e-01 6.62617343e-01 6.61194654e-01 6.59753462e-01 
6.58293651e-01 6.56815110e-01 6.55317726e-01 6.53801390e-01 6.52265995e-01 
6.50711434e-01 6.49137604e-01 6.47544402e-01 6.45931729e-01 6.45115622e-01 
6.43474773e-01 6.41814319e-01 6.40134168e-01 6.38434233e-01 6.36714429e-01 
6.34974672e-01 6.33214884e-01 6.31434986e-01 6.29634906e-01 6.27814570e-01 
6.25973913e-01 6.24112867e-01 6.22231373e-01 6.20329372e-01 6.18406809e-01 
6.16463634e-01 6.14499798e-01 6.12515259e-01 6.10509977e-01 6.08483917e-01 
6.06437047e-01 6.04369340e-01 6.02280773e-01 6.00171328e-01 5.98040992e-01 
5.95889754e-01 5.93717612e-01 5.91524566e-01 5.89310621e-01 5.87075788e-01 
5.84820084e-01 5.82543530e-01 5.80246152e-01 5.77927984e-01 5.75589063e-01 
5.73229434e-01 5.70849145e-01 5.68448254e-01 5.66026822e-01 5.63584917e-01 
5.61122614e-01 5.58639994e-01 5.56137144e-01 5.53614158e-01 5.51071138e-01 
5.48508191e-01 5.45925432e-01 5.43322982e-01 5.40700970e-01 5.38059531e-01 
5.35398810e-01 5.32718956e-01 5.30020128e-01 5.27302491e-01 5.24566217e-01 
5.21811488e-01 5.19038491e-01 5.16247423e-01 5.13438487e-01 5.10611896e-01 
5.07767867e-01 5.04906630e-01 5.02028418e-01 4.99133476e-01 4.96222055e-01 
4.93294414e-01 4.90350819e-01 4.87391547e-01 4.84416880e-01 4.81427109e-01 
4.78422534e-01 4.75403462e-01 4.72370207e-01 4.69323092e-01 4.66262448e-01 
4.63188612e-01 4.60101932e-01 4.57002759e-01 4.53891455e-01 4.50768388e-01 
4.47633934e-01 4.44488475e-01 4.41332402e-01 4.38166111e-01 4.34990005e-01 
4.31804495e-01 4.28609998e-01 4.25406936e-01 4.22195739e-01 4.18976841e-01 
4.15750685e-01 4.12517715e-01 4.09278386e-01 4.06033152e-01 4.02782477e-01 
3.99526827e-01 3.96266674e-01 3.93002493e-01 3.89734763e-01 3.86463969e-01 
3.83190595e-01 3.79915133e-01 3.76638076e-01 3.73359917e-01 3.70081156e-01 
3.66802292e-01 3.63523826e-01 3.60246262e-01 3.56970102e-01 3.53695853e-01 
3.50424019e-01 3.47155105e-01 3.43889617e-01 3.40628059e-01 3.37370936e-01 
3.34118750e-01 3.30872001e-01 3.27631190e-01 3.24396814e-01 3.21169367e-01 
3.17949341e-01 3.14737225e-01 3.11533504e-01 3.08338660e-01 3.05153169e-01 
3.01977506e-01 2.98812137e-01 2.95657527e-01 2.92514133e-01 2.89382407e-01 
2.86262796e-01 2.83155739e-01 2.80061669e-01 2.76981015e-01 2.73914195e-01 
2.70861622e-01 2.67823701e-01 2.64800830e-01 2.61793396e-01 2.58801783e-01 
2.55826361e-01 2.52867496e-01 2.49925543e-01 2.47000847e-01 2.44093747e-01 
2.41204570e-01 2.38333635e-01 2.35481250e-01 2.32647716e-01 2.29833321e-01 
2.27038346e-01 2.24263059e-01 2.21507722e-01 2.18772583e-01 2.16057882e-01 
2.13363848e-01 2.10690700e-01 2.08038648e-01 2.05407888e-01 2.02798611e-01 
2.00210993e-01 1.97645203e-01 1.95101399e-01 1.92579727e-01 1.90080326e-01 
1.87603322e-01 1.85148834e-01 1.82716969e-01 1.80307824e-01 1.77921488e-01 
1.75558040e-01 1.73217549e-01 1.70900074e-01 1.68605665e-01 1.66334366e-01 
1.64086207e-01 1.61861214e-01 1.59659400e-01 1.57480773e-01 1.55325330e-01 
